comuna,latitud,longitud,precip_mm
ALHUÉ,-34.037086200000005,-71.08449862068355,0.0
BUIN,-33.7319741,-70.7419619,0.0
CALERA DE TANGO,-33.6309419,-70.7593202,0.0
CERRILLOS,-33.50242935,-70.71586831644515,0.0
CERRO NAVIA,-33.4253465,-70.74607176706283,0.0
COLINA,-33.202472,-70.6749147,0.0
CONCHALÍ,-33.3960309,-70.6708385,0.0
CURACAVÍ,-33.4022289,-71.1293733,0.0
EL BOSQUE,-33.5561468,-70.6655679,0.0
EL MONTE,-33.6783192,-70.9782465,0.0
ESTACIÓN CENTRAL,-33.4536375,-70.6898654,0.0
HUECHURABA,-33.3744615,-70.6362988,0.0
INDEPENDENCIA,-33.422295,-70.6554648,0.0
ISLA DE MAIPO,-33.7537387,-70.9039325,0.0
LA CISTERNA,-33.5346265,-70.6644024,0.0
LA FLORIDA,-33.5204181,-70.6006178,0.0
LA GRANJA,-33.5431234,-70.6332426,0.0
LA PINTANA,-33.5833594,-70.629827,0.0
LA REINA,-33.44737295,-70.53341181233888,0.0
LAMPA,-33.2895953,-70.8705255,0.0
LAS CONDES,-33.4084548,-70.5671489,0.0
LO BARNECHEA,-33.2935888,-70.39035501440654,0.0
LO ESPEJO,-33.5250782,-70.694539,0.0
LO PRADO,-33.44740825,-70.72338629127196,0.0
MACUL,-33.4821635,-70.5991929,0.0
MAIPÚ,-33.5094409,-70.756182,0.0
MARÍA PINTO,-33.5159823,-71.1200324,0.0
MELIPILLA,-33.6855134,-71.2145796,0.0
PADRE HURTADO,-33.5673051,-70.8020467,0.0
PAINE,-33.8101102,-70.7390236,0.0
PEDRO AGUIRRE CERDA,-33.49383,-70.6760755,0.0
PEÑAFLOR,-33.6058638,-70.8785306,0.0
PEÑALOLÉN,-33.4765918,-70.5418308,0.0
PIRQUE,-33.6348808,-70.5729961,0.0
PROVIDENCIA,-33.4321835,-70.6095284,0.0
PUDAHUEL,-33.4193729,-70.86335607718577,0.0
PUENTE ALTO,-33.6095279,-70.5754736,0.0
QUILICURA,-33.3600426,-70.7118564,0.0
QUINTA NORMAL,-33.4282535,-70.69994763926692,0.0
RECOLETA,-33.4020744,-70.6428912,0.0
RENCA,-33.4042423,-70.7049708,0.0
SAN BERNARDO,-33.5922859,-70.7045838,0.0
SAN JOAQUÍN,-33.4965843,-70.6290637,0.0
SAN JOSÉ DE MAIPO,-33.6403975,-70.3527845,0.0
SAN MIGUEL,-33.49757235,-70.65220211103082,0.0
SAN PEDRO,-33.8943545,-71.4563149,0.0
SAN RAMÓN,-33.5428175,-70.643812,0.0
SANTIAGO,-33.4377756,-70.6504502,0.0
TALAGANTE,-33.6644388,-70.9302778,0.0
TILTIL,-33.0852808,-70.9293877,0.0
VITACURA,-33.3802063,-70.56578365381537,0.0
ÑUÑOA,-33.4543164,-70.5936358,0.0
